brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,Price,Sale Product Count,Total Sales,Available Stock
Lenovo,IdeaPad 3,14 Inches,Gray,128 GB,Core i3 Family,8 GB,Windows 11 S,"Dolby,Narrow Bezel",Integrated,,,4.5," $1,406.04 ",57,80144.28,147
ASUS,ASUS Vivobook Go 15,15.6 Inches,Star Black,64 GB,Celeron,4 GB,Windows 11 S,Thin-bezel,Integrated,,,4.1, $589.99 ,54,31859.46,390
HP,HP Laptop 15-ef2024nr,15 Inches,Natural silver,256 GB,Ryzen 3,8 GB,Windows 11 Home,,Integrated,,,4.5, $999.99 ,13,12999.87,481
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $3,299.00 ",34,112166,295
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,450.77 ",32,46424.64,84
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $57.99 ,35,2029.65,336
ASUS,UX5304VA-XS76T,13.3 Inches,Gray,1 TB,Core i7,32 GB,Windows 11 Pro,Dolby,Integrated,,,4.3, $765.75 ,58,44413.5,210
ASUS,ROG Strix G15,15.6 Inches,Eclipse Gray,1 TB,AMD Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,Dedicated,,,4.6," $1,068.99 ",42,44897.58,121
Lenovo,IdeaPad 3,15.6 Inches,Blue,64 GB,Celeron P4500,8 GB,Chrome OS,Narrow,Integrated,,,4.2, $749.99 ,63,47249.37,158
acer,"2023 Newest Acer 15.6"" Chromebook",15.6 Inches,Silver,64 GB,Celeron N4020,4 GB,Chrome OS,Anti-glare,Integrated,,,4.2, $429.00 ,15,6435,396
ASUS,Chromebook C425 Clamshell,14 Inches,Silver,128 GB,Celeron N4020,4 GB,Chrome OS,"Anti-glare,Ultra-narrow Bezel",Integrated,,,4.3, $639.99 ,49,31359.51,178
Lenovo,Flex 5,14 Inches,,256 GB,AMD Ryzen 5 5500U,16 GB,Windows 11 Home,,Integrated,AMD Radeon R5,2.1 GHz,4.2," $1,699.00 ",50,84950,122
acer,A115-32-C96U,15.6 Inches,Silver,128 GB,Celeron N,4 GB,Windows 11 S,,Integrated,Intel UHD Graphics,,4.3," $2,467.69 ",65,160399.85,277
ASUS,ROG Flow Z13,13.4 Inches,Black,1 TB,Core i9,16 GB,Windows 11 Home,Stylus,Dedicated,,,4.4, $639.99 ,19,12159.81,144
HP,HP,15.6 Inches,Touchscreen,1 TB,Core i3-1115G4E,16 GB,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,4.5," $1,599.00 ",40,63960,238
ASUS,ROG Strix SCAR 16,16 Inches,Off Black,2 TB,Core i9,32 GB,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.1, $639.99 ,54,34559.46,464
ASUS,ROG Strix SCAR 18,18 Inches,Black,2 TB,Intel Core i9,32 GB,Windows 11 Pro,Anti Glare Coating,Dedicated,,,4.3, $459.99 ,51,23459.49,81
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $3,399.00 ",52,176748,387
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,," $1,657.21 ",20,33144.2,425
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $389.99 ,35,13649.65,107
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,559.00 ",26,40534,211
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $2,742.99 ",43,117948.57,277
LG,17Z90Q-K.ADB9U1,17 Inches,Black,2 TB,Core i7,32 GB,Windows 11 Home,Lightweight,Intel XE,,,4.3, $999.99 ,57,56999.43,368
ASUS,ROG Flow Z13,13.4 Inches,Acronym,1 TB,Core i9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4070,,4.2," $1,094.99 ",29,31754.71,219
Lenovo,Chromebook,11.6 Inches,Black,32 GB,MediaTek MT8183,4 GB,Chrome OS,Anti-glare,Integrated,,,4.3, $999.99 ,56,55999.44,435
Microsoft,Surface Laptop,15 Inches,Platinum,512 GB,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, Support Stylus",Integrated,,,4.4, $807.99 ,45,36359.55,374
ASUS,TUF Dash 15 (2022),15.6 Inches,Off Black,512 GB,Core i7,16 GB,Windows 11 Home,Backlit Keyboard,RTX 3060,,,4.5," $3,116.99 ",40,124679.6,167
ASUS,TUF Gaming A15,15.6 Inches,Mecha Gray,1 TB,Ryzen 7,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4050,,4.3, $459.99 ,33,15179.67,223
HP,14-dq0070nr,14 Inches,Pale rose gold,64 GB,Celeron N4020,4 GB,Windows 11 S,Micro-edge Bezel,Integrated,,,4.3, $228.00 ,44,10032,182
ASUS,ROG Strix Scar 17,17.3 Inches,Off Black,1 TB,Ryzen 9,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4080,,4.1, $640.99 ,58,37177.42,206
acer,A3SP14-31PT-37NV,14 Inches,Silver,128 GB,Core i3,8 GB,Windows 11 S,Pen,Integrated,,,4.5, $589.99 ,37,21829.63,391
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $999.99 ,30,29999.7,365
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4," $1,748.04 ",58,101386.32,420
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $459.99 ,13,5979.87,169
ASUS,ASUS TUF Gaming F1,17.3 Inches,Graphite Black,512 GB,Core i5,8 GB,Windows 11 Home,Numeric Keypad,RTX 3050,,,4.5, $729.99 ,59,43069.41,254
Lenovo,IdeaPad Flex 5i Chromebook,13.3 Inches,Abyss Blue,128 GB,Core i3,8 GB,Chrome OS,Anti Glare Coating,Integrated,,,4.4, $459.99 ,38,17479.62,450
HP,,15.6 Inches,Silver,1 TB,Intel Core i5,16 GB,Windows 11,Anti-glare,Integrated,Intel UHD Graphics,,4.1, $658.99 ,20,13179.8,332
Dell,Dell Latitude,14 Inches,Black,512 GB,Core i7-8650U,16 GB,Windows 10 Pro,TrackPoint,Integrated,,,4," $1,199.00 ",33,39567,86
HP,Chromebook 11 G9 EE,11.6 Inches,,,Celeron,4 GB,Chrome OS,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,2.6 GHz,5, $389.99 ,56,21839.44,260
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $639.99 ,43,27519.57,495
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $239.00 ,39,9321,406
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,, $999.99 ,63,62999.37,224
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $2,199.99 ",12,26399.88,443
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5," $1,999.00 ",32,63968,246
acer,Swift Go 14,14 Inches,Silver,512 GB,Intel Core i7-1355U,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.3," $2,099.99 ",50,104999.5,206
ASUS,VivoBook S 15,15.6 Inches,Midnight Black,1 TB,Core i9,16 GB,Windows 11 Home,,Integrated,Intel Iris,,3.7," $1,599.99 ",32,51199.68,238
Apple,MacBook Pro,16.2 Inches,Space Gray,512 GB,ARM 7100,32 GB,macOS 12 Monterey,,Integrated,M1 Pro,,4.7," $1,327.99 ",48,63743.52,364
acer,Aspire 5,15.6 Inches,Silver,256 GB,AMD Ryzen 5 5500U,8 GB,Windows 11,Backlit Keyboard,Integrated,,,4.4," $1,764.99 ",29,51184.71,317
Apple,"2022 Apple MacBook Air M2, 16GB RAM, 512GB Storage - Midnight (Z160000B1)",13.6 Inches,,512 GB,Apple M1,16 GB,macOS 12 Monterey,Fingerprint Reader,Integrated,Apple Integrated Graphics,,4.8, $245.00 ,36,8820,354
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7, $389.99 ,53,20669.47,123
SAMSUNG,NP754XFG-KB1US,15.6 Inches,Silver,16 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Iris Xe Graphics,,4.8, $732.00 ,60,43920,231
Microsoft,Surface Laptop Studio 2,14.4 Inches,Platinum,2 TB,Core i7-13700K,64 GB,Windows 11 Home,Portable,NVIDIA® GeForce RTX™ 4060,,,, $999.99 ,55,54999.45,445
ASUS,Zenbook 15,15.6 Inches,Basalt Grey,1 TB,Ryzen 7,32 GB,Windows 11 Home,Dolby,Integrated,,,4.3, $899.99 ,44,39599.56,117
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5," $1,757.57 ",16,28121.12,251
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $999.99 ,26,25999.74,251
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,," $1,599.00 ",42,67158,309
SAMSUNG,Galaxy Book3 Pro,14 Inches,Graphite,,,,,,,,,4.4, $999.99 ,18,17999.82,121
Apple,MacBook Pro,13 Inches,,256 GB,Apple M1,16 GB,macOS 12 Monterey,,Integrated,,3.4 GHz,4.7," $1,469.00 ",65,95485,237
HP,HP 15 scarlet red,15.6 Inches,Silver,1 TB,Celeron,16 GB,Windows 11 Home,,Integrated,Intel UHD Graphics,,4.3," $2,492.99 ",25,62324.75,140
Carlisle FoodService Products,ASUS VivoBook L203,11.6 Inches,Black,64 GB,Celeron N4000,4 GB,Windows 10 S,,Integrated,Intel UHD Graphics 600,,4.2," $2,929.99 ",49,143569.51,216
Gigabyte,G5 KF-E3US333SH,15.6 Inches,Black,512 GB,Core i5,8 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4, $473.00 ,37,17501,422
ASUS,Vivobook 15X,15.6 Inches,Indie Black,1 TB,Ryzen 7,16 GB,Windows 11 Home,,Integrated,AMD Radeon Graphics,,5," $1,699.00 ",49,83251,359
acer,Chromebook Spin,11.6 Inches,Silver,64 GB,Celeron N4000,4 GB,Chrome OS,,Integrated,intel,,4.5," $2,912.99 ",42,122345.58,146
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $1,023.99 ",16,16383.84,145
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,, $864.99 ,57,49304.43,410
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,599.00 ",54,86346,423
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $613.99 ,53,32541.47,403
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $880.99 ,37,32596.63,155
ASUS,Zenbook Pro 14 Duo,14.5 Inches,Tech Black,1 TB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4, $428.45 ,27,11568.15,486
ASUS,ASUS Chromebook C203XA,11.6 Inches,Grey,32 GB,MediaTek_MT8127,4 GB,Chrome OS,Spill resistant,Integrated,,,4.3, $639.99 ,58,37119.42,355
MSI,Stealth 17Studio A13VH-053US,17.3 Inches,,1 TB,Core i9,32 GB,Windows 11 Home,Anti Glare Coating,RTX 4080,NVIDIA GeForce RTX 4080,,4.2," $1,699.95 ",61,103696.95,146
Lenovo,Ideapad,15.6 Inches,Platinum Grey,256 GB,Intel Core i3,8 GB,Windows 11 Home,Anti Glare Coating,Intel UHD Graphics,,,4.3," $1,799.95 ",33,59398.35,415
MSI,MSI GF63,15.6 Inches,,512 GB,Core i5 Family,16 GB,Windows 10 Home,Backlit Keyboard,Dedicated,Nvidia,,4.1, $930.00 ,22,20460,265
Apple,"2022 Apple MacBook Air M2, 16GB RAM, 256GB Storage - Space Gray (Z15S000CT)",13.6 Inches,,256 GB,Apple M1,16 GB,macOS 12 Monterey,,Integrated,,3.4,5, $589.99 ,44,25959.56,439
HP,EliteBook 840,14 Inches,Silver,256 GB,Core i5 6200U,16 GB,Windows 10 Pro,Anti Glare Coating,Integrated,,,4," $3,499.00 ",15,52485,84
ASUS,ProArt StudioBook 16,16 Inches,,1 TB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,5.6 GHz,3.7," $1,799.00 ",65,116935,102
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $735.59 ,52,38250.68,163
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $389.99 ,56,21839.44,84
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $997.74 ,54,53877.96,384
SAMSUNG,Chromebook 4+,15.6 Inches,Silver,64 GB,Celeron N3450,4 GB,Chrome OS,,Integrated,,1.1 GHz,4.4, $589.99 ,51,30089.49,436
HP,"HP 14"" Chromebook",14 Inches,Dale Gray,128 GB,Core i3,8 GB,Chrome OS,High Quality,Integrated,,,3.9," $2,699.00 ",44,118756,286
acer,Aspire 5,15.6 Inches,Silver,128 GB,Ryzen 3 3350U,4 GB,Windows 11,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.5," $1,599.00 ",47,75153,278
Razer,Razer Blade 14,14 Inches,,1 TB,Ryzen 9 7900X,16 GB,Windows 11 Home,,RTX 4070,NVIDIA GeForce RTX 4070,,4.3, $239.99 ,52,12479.48,200
ASUS,VivoBook 15,15.6 Inches,Slate Gray,128 GB,Core i3-1005G1,8 GB,Windows 10 Home,"Backlit Keyboard,Fingerprint,Nanoedge Bezel",Integrated,,,4.5, $739.99 ,25,18499.75,488
acer,PH16-71-74UU,16 Inches,Black,1 TB,Intel Core i7,16 GB,Windows 11 Home,"Backlit Keyboard, Memory Card Slot",Dedicated,,,4.5," $2,815.30 ",16,45044.8,207
ASUS,ASUS ROG Zephyrus Duo 16,16 Inches,Black,1000 GB,Ryzen 7,16 GB,Windows 11 Home,Anti Glare Coating,RTX 3060,,,4.3, $694.19 ,42,29155.98,320
ASUS,Vivobook Pro 15,15.6 Inches,Quiet Blue,1 TB,Ryzen 9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4.6," $1,658.99 ",32,53087.68,272
Dell,XPS9310-7321WHT-SUS,13.4 Inches,White,512 GB,Core i7 Family,16 GB,Windows 11 Home,"Fingerprint Reader, Backlit Keyboard",Integrated,,,4.1, $459.99 ,37,17019.63,93
Dell,Dell G15 5520,15.6 Inches,Shadow Grey,512 GB,Core i7 Family,16 GB,Windows 11 Home,,Dedicated,,,4.2, $899.99 ,17,15299.83,307
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $2,425.99 ",48,116447.52,452
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5," $1,699.00 ",47,79853,364
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $589.99 ,14,8259.86,493
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,," $1,999.00 ",54,107946,466
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5, $389.99 ,49,19109.51,145
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5, $993.23 ,25,24830.75,440
ASUS,Vivobook 14,14 Inches,Quiet Blue,256 GB,Core i5,8 GB,Windows 11 Home,,Integrated,Intel Iris,,4.4," $1,599.00 ",61,97539,81
HP,HP Chromebook,16 Inches,Chalkboard Gray,32 GB,AMD A Series,4 GB,Chrome OS,Backlit Keyboard,Dedicated,,,4.3," $1,514.09 ",62,93873.58,285
LG,17Z90R-A.ADB9U1,17 Inches,Black,2 TB,Intel Core i7,32 GB,Windows 11 Home,,Dedicated,NVIDIA RTX3050,,3.7, $959.00 ,35,33565,462
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1, $783.95 ,12,9407.4,263
ASUS,Vivobook 16X,16 Inches,Indie Black,1 TB,Core i9,32 GB,Windows 11 Home,"Fingerprint Reader, HD Audio, Spill resistant, High Definition Audio, Anti Glare Coating","Integrated, Dedicated",,,3.5, $389.99 ,34,13259.66,373
ASUS,VivoBook Pro 16,16 Inches,Quiet Blue,1 TB,Core i9,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4060,,4, $979.00 ,35,34265,166
Dell,Latitude 5000,14 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,"Anti-glare Screen, Water Resistant",Iris Xe Graphics,,,4.8," $1,438.99 ",16,23023.84,177
ASUS,FX707ZC-ES53,17.3 Inches,Mecha Gray,,Core i5,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3050,4.5 GHz,3.5," $1,305.17 ",38,49596.46,170
HP,HP 15,15.6 Inches,Silver,256 GB,Core i5,12 GB,Windows 11 S,"Touchscreen Laptop, Windows Laptop, i5 Laptop",Integrated,,,4.4, $899.99 ,25,22499.75,280
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5, $639.99 ,30,19199.7,391
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4, $459.99 ,46,21159.54,183
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,, $459.99 ,20,9199.8,189
Microsoft,Surface Laptop Go 2,12.45 Inches,Platinum,256 GB,Intel Core i5,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,,4.4, $322.98 ,64,20670.72,238
HP,,14 Inches,Rose Gold,64 GB,Celeron N,8 GB,Windows 11,Anti Glare Coating,,Intel HD Graphics 600,1.1 GHz,4.1," $4,888.99 ",61,298228.39,377
Lenovo,"Lenovo 14"" Laptop",14 Inches,Blue,512 GB,Intel Core i7,16 GB,Windows 11,"Backlit Keyboard,Fingerprint Reader",Integrated,,,3.7, $639.99 ,18,11519.82,313
Lenovo,L14,14 Inches,Platinum Grey,128 GB,Pentium,4 GB,Windows 11 S,,Integrated,Intel UHD Graphics 605,,4, $589.99 ,49,28909.51,361
MSI,GF63 Thin,15.6 Inches,Black,256 GB,Unknown,8 GB,Windows 10,Anti Glare Coating,Dedicated,,,4.6, $999.99 ,58,57999.42,343
Apple,MacBook Pro,16 Inches,Space Gray,1 TB,Others,32 GB,Mac OS,Backlit Keyboard,Dedicated,,,3, $459.99 ,38,17479.62,192
SAMSUNG,NP964XFG-KC1US,16 Inches,Graphite,,Intel Core i7,32 GB,Windows 11 Pro,,Integrated,,2.2 GHz,4, $999.99 ,34,33999.66,294
ASUS,ASUS Chromebook CX1,15.6 Inches,Silver,64 GB,Celeron N3350,8 GB,Chrome OS,,Integrated,,2.4 GHz,4.1," $1,689.18 ",35,59121.3,286
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1," $1,159.95 ",51,59157.45,482
